NUMBER,NAME,LOCATION,STATUS,LATX,LONGX,ELEV,TYPE,YEAR,PLACE
0100-01-,Abu,Japan,Thermoluminescence,34.5,131.6,641,Shield volcano,-6850,Honshu-Japan
0100-02-,Acamarachi,Chile,Holocene,-23.3,-67.61666667,6046,Stratovolcano,unknown,Chile-N
0100-03-,Acatenango,Guatemala,Historical,14.50055556,-90.87583333,3976,Stratovolcano,1972,Guatemala
0100-04-,Acigol-Nevsehir,Turkey,Anthropology,38.56666667,34.51666667,1689,Caldera,-2080,Turkey
0101-001,Adams,United States,Tephrochronology,46.20555556,-121.4897222,3742,Stratovolcano,-950,US-Washington
0101-003,Adams Seamount,Pacific Ocean,Potassium-Argon,-25.36666667,-129.2666667,-39,Submarine volcano,-50,Pacific-C
0101-004,Adatara,Japan,Historical,37.64416667,140.2861111,1718,Stratovolcano,1996,Honshu-Japan
0101-01=,Adwa,Ethiopia,Holocene,10.07,40.84,1733,Stratovolcano,unknown,Ethiopia
0101-02=,Afdera,Ethiopia,Holocene,13.08333333,40.85,1295,Stratovolcano,unknown,Ethiopia
0101-031,Agrigan,Pacific Ocean,Historical,18.76666667,145.6666667,965,Stratovolcano,1917,Mariana is-C Pacific
0101-03=,Agua,Guatemala,Holocene,14.46472222,-90.74305556,3760,Stratovolcano,unknown,Guatemala
0101-041,Agua de Pau,Portugal,Historical,37.76666667,-25.46666667,947,Stratovolcano,1564,Azores
0101-042,Aguilera,Chile,Radiocarbon,-50.33333333,-73.75,2546,Stratovolcano,-1250,Chile-S
0101-04=,Agung,Indonesia,Historical,-8.341666667,115.5083333,3142,Stratovolcano,1964,Lesser Sunda Islands
0101-05=,Ahyi,Pacific Ocean,Seismicity,20.41666667,145.0333333,-137,Submarine volcano,2001,Mariana is-C Pacific
0101-06=,Akademia Nauk,Russia,Historical,53.98333333,159.45,1180,Stratovolcano,1996,Kamchatka
0101-071,Akagi,Japan,Holocene,36.55722222,139.1963889,1828,Stratovolcano,1828,Honshu-Japan
0101-07=,Akan,Japan,Historical,43.38416667,144.0127778,1499,Caldera,2008,Hokkaido-Japan
0102-02=,Akhtang,Russia,Holocene,55.43333333,158.65,1956,Shield volcano,unknown,Kamchatka
0102-03=,Akita-Komaga-take,Japan,Historical,39.75833333,140.8027778,1637,Stratovolcano,1971,Honshu-Japan
0102-04=,Akita-Yake-yama,Japan,Historical,39.96111111,140.7605556,1366,Stratovolcano,1997,Honshu-Japan
0102-051,Akuseki-jima,Japan,Holocene,29.46138889,129.5969444,584,Stratovolcano,unknown,Ryukyu is
0102-05=,Akutan,Aleutian Islands,Historical,54.13444444,-165.9861111,1303,Stratovolcano,1894,Aleutian is
0103-00-,Alaid,Russia,Historical,50.85833333,155.55,2339,Stratovolcano,1996,Kuril is
0103-001,Alamagan,Pacific Ocean,Radiocarbon,17.6,145.8333333,744,Stratovolcano,-870,Mariana is-C Pacific
0103-002,Alayta,Ethiopia,Historical,12.88333333,40.56666667,1501,Shield volcano,1915,Ethiopia
0103-003,Alban Hills,Italy,Holocene,41.73333333,12.7,949,Caldera,unknown,Italy
0103-004,Alcedo,Galapagos,Historical,-0.433333333,-91.11666667,1130,Shield volcano,1993,Galapagos
0103-011,Ale Bagu,Ethiopia,Holocene,13.51666667,40.63333333,1031,Stratovolcano,unknown,Ethiopia
0103-01=,Alid,Ethiopia,Holocene,14.88333333,39.91666667,904,Stratovolcano,unknown,Ethiopia
0103-021,Alligator Lake,Canada,Holocene,60.41666667,-135.4166667,2217,Volcano field,unknown,Canada
0103-022,Almolonga,Guatemala,Historical,14.81666667,-91.48333333,3197,Stratovolcano,1818,Guatemala
0103-02=,Alney-Chashakondzha,Russia,Radiocarbon,56.7,159.65,2598,Stratovolcano,1600,Kamchatka
0103-03=,Alngey,Russia,Holocene,57.7,160.4,1853,Stratovolcano,unknown,Kamchatka
0103-04-,Alu,Ethiopia,Holocene,13.825,40.50833333,429,Fissure vent,unknown,Ethiopia
0103-05-,Alutu,Ethiopia,Radiocarbon,7.766666667,38.78333333,2335,Stratovolcano,-50,Ethiopia
0104-01-,Amak,Aleutian Islands,Historical,55.42388889,-163.1491667,488,Stratovolcano,1796,Aleutian is
0104-02-,Amasing,Indonesia,Holocene,-0.533333333,127.4833333,1030,Stratovolcano,unknown,Halmahera-indonesia
0104-03-,Ambalatungan Group,Philippines,Fumarolic,17.31666667,121.1,2329,Compound volcano,unknown,Luzon-Philippines
0104-06-,Ambang,Indonesia,Historical,0.75,124.4166667,1795,Complex volcano,1845,Sulawesi-indonesia
0104-07-,Ambitle,Pacific Ocean,Radiocarbon,-4.083333333,153.65,450,Stratovolcano,-350,New ireland-SW Pacific
0104-08-,Ambre-Bobaomby,Madagascar,Holocene,-12.6,49.15,1475,Volcano field,unknown,Madagascar
0104-09-,Ambrym,Pacific Ocean,Historical,-16.25,168.1166667,1334,Pyroclastic shield,2011,Vanuatu-SW Pacific
0104-10-,Amorong,Philippines,Fumarolic,15.82833333,120.805,376,Lava dome,unknown,Luzon-Philippines
0201-01=,Amsterdam island,Indian Ocean,Holocene,-37.83333333,77.51666667,881,Stratovolcano,unknown,Indian O.-S
0201-021,Amukta,Aleutian Islands,Historical,52.5,-171.2522222,1066,Stratovolcano,1997,Aleutian is
0201-022,Anatahan,Pacific Ocean,Historical,16.35,145.6666667,790,Stratovolcano,2008,Mariana is-C Pacific
0201-02=,Anaun,Russia,Holocene,56.31666667,158.8333333,1828,Stratovolcano,unknown,Kamchatka
0201-03=,Andahua-Orcopampa,Peru,Radiocarbon,-15.41666667,-72.33333333,4713,Cinder cone,1490,Peru
0201-041,Andrus,Antarctica,Holocene,-75.8,-132.3333333,2978,Shield volcano,unknown,Antarctica
0201-04=,Aneityum,Pacific Ocean,Holocene,-20.2,169.7833333,852,Stratovolcano,unknown,Vanuatu-SW Pacific
0201-05=,Aniakchak,Alaska,Historical,56.88333333,-158.1666667,1341,Caldera,1931,Alaska Peninsula
0201-06=,Ankaizina Field,Madagascar,Holocene,-14.3,48.66666667,2878,Cinder cone,unknown,Madagascar
0201-071,Ankaratra Field,Madagascar,Holocene,-19.4,47.2,2644,Cinder cone,unknown,Madagascar
0201-07=,Antillanca Group,Chile,Radiocarbon,-40.77083333,-72.15333333,1990,Stratovolcano,-230,Chile-C
0201-08=,Antipodes island,Pacific Ocean,Holocene,-49.68333333,178.7666667,402,Pyroclastic cone,unknown,Pacific-S
0201-091,Antisana,Ecuador,Historical,-0.481388889,-78.14083333,5753,Stratovolcano,1802,Ecuador
0201-09=,Antofagasta de la Sierra,Argentina,Holocene,-26.08333333,-67.5,4000,Scoria cones,unknown,Argentina
0201-101,Antuco,Chile,Historical,-37.40583333,-71.34916667,2979,Stratovolcano,1869,Chile-C
0201-102,Aoba,Pacific Ocean,Historical,-15.4,167.8333333,1496,Shield volcano,2011,Vanuatu-SW Pacific
0201-103,Aoga-shima,Japan,Historical,32.45416667,139.7622222,423,Stratovolcano,1785,izu is-Japan
0201-104,Apagado,Chile,Holocene,-41.88333333,-72.58333333,1210,Pyroclastic cone,unknown,Chile-S
0201-105,Apaneca Range,El Salvador,Holocene,13.89083333,-89.78611111,2036,Stratovolcano,unknown,El Salvador
0201-106,Apastepeque Field,El Salvador,Holocene,13.71666667,-88.76666667,700,Volcano field,unknown,El Salvador
0201-107,Apo,Philippines,Fumarolic,6.988888889,125.2694444,2938,Stratovolcano,unknown,Mindanao-Philippines
0201-10=,Apoyeque,Nicaragua,Radiocarbon,12.24166667,-86.34166667,518,Pyroclastic shield,-50,Nicaragua
0201-111,Aracar,Argentina,Uncertain,-24.25,-67.76666667,6082,Stratovolcano,unknown,Argentina
0201-112,Aragats,Armenia,Holocene,40.53333333,44.2,4095,Stratovolcano,unknown,Armenia
0201-113,Aramuaca  Laguna,El Salvador,Holocene,13.42833333,-88.105,181,Maar,unknown,El Salvador
0201-114,Ararat,Turkey,Historical,39.7,44.3,5165,Stratovolcano,1840,Turkey
0201-115,Arayat,Philippines,Holocene,15.2,120.7416667,1026,Stratovolcano,unknown,Luzon-Philippines
0201-116,Ardoukoba,Djibouti,Historical,11.58333333,42.46666667,298,Fissure vent,1978,Djibouti
0201-11=,Arenal,Costa Rica,Historical,10.46333333,-84.70333333,1670,Stratovolcano,2010,Costa Rica
0201-120,Arenales,Chile,Historical,-47.2,-73.48333333,3437,Stratovolcano,1979,Chile-S
0201-121,Arhab  Harra of,Arabia,Historical,15.63333333,44.08333333,3100,Volcano field,-500,Arabia-S
0201-122,Arjuno-Welirang,Indonesia,Historical,-7.725,112.5833333,3339,Stratovolcano,1952,Java
0201-123,Arshan,China,Radiocarbon,47.5,120.7,,Cinder cone,150,China-E
0201-124,Asacha,Russia,Holocene,52.355,157.8266667,1910,Complex volcano,unknown,Kamchatka
0201-125,Asama,Japan,Historical,36.40333333,138.5261111,2568,Complex volcano,2009,Honshu-Japan
0201-126,Asavyo,Ethiopia,Holocene,13.06666667,41.6,1200,Shield volcano,unknown,Ethiopia
0201-12=,Ascension,Atlantic Ocean,Holocene,-7.95,-14.36666667,858,Stratovolcano,unknown,Atlantic-C
0201-141,Askja,Iceland,Historical,65.03333333,-16.75,1516,Stratovolcano,1961,Iceland-NE
0201-151,Aso,Japan,Historical,32.88083333,131.1063889,1592,Caldera,2011,Kyushu-Japan
0201-15=,Assab Volcano Field,Ethiopia,Holocene,12.95,42.43333333,987,Volcano field,unknown,Ethiopia
0201-16=,Asuncion,Pacific Ocean,Historical,19.67083333,145.4055556,857,Stratovolcano,1906,Mariana is-C Pacific
0201-171,Atacazo,Ecuador,Radiocarbon,-0.352777778,-78.61694444,4463,Stratovolcano,-320,Ecuador
0201-172,Atakor Volcano Field,Africa,Holocene,23.33333333,5.833333333,2918,Scoria cones,unknown,Africa-N
0201-17=,Atitlan,Guatemala,Historical,14.58277778,-91.18638889,3535,Stratovolcano,1853,Guatemala
0201-18=,Atka,Aleutian Islands,Historical,52.33166667,-174.1366667,1451,Stratovolcano,1987,Aleutian is
0201-191,Atlin Volcano Field,Canada,Holocene,59.68333333,-133.3166667,1880,Cinder cone,unknown,Canada
0201-19=,Atlixcos  Los,Mexico,Holocene,19.80888889,-96.52638889,800,Shield volcano,unknown,Mexico
0201-20-,Atsonupuri,Russia,Historical,44.805,147.135,1206,Stratovolcano,1932,Kuril is
0201-21-,Atuel  Caldera del,Argentina,Holocene,-34.65,-70.05,5189,Caldera,unknown,Argentina
0201-22-,Auckland Field,New Zealand,Radiocarbon,-36.9,174.8666667,260,Volcano field,1350,New Zealand
0201-222,Augustine,Alaska,Historical,59.36333333,-153.4333333,1252,Lava dome,2006,Alaska-SW
0201-23-,Auquihuato  Cerro,Peru,Holocene,-15.06666667,-73.18333333,4980,Cinder cone,unknown,Peru
0201-24-,Avachinsky,Russia,Historical,53.255,158.83,2741,Stratovolcano,2001,Kamchatka
0201-25-,Awu,Indonesia,Historical,3.666666667,125.5,1320,Stratovolcano,2004,Sangihe is-indonesia
0201-252,Axial Seamount,Pacific Ocean,Historical,45.95,-130,-1410,Submarine volcano,1998,Pacific-NE
0201-26-,Ayelu,Ethiopia,Holocene,10.08222222,40.70166667,2145,Stratovolcano,unknown,Ethiopia
0201-27-,Azas Plateau,Russia,Holocene,52.51666667,98.6,2765,Volcano field,unknown,Russia-SE
0201-28-,Azufral,Colombia,Radiocarbon,1.083333333,-77.68333333,4070,Stratovolcano,-930,Colombia
0201-29-,Azufre  Cerro del,Chile,Holocene,-21.78722222,-68.2375,5846,Stratovolcano,unknown,Chile-N
0201-291,Azul  Cerro,Galapagos,Historical,-0.916666667,-91.40833333,1640,Shield volcano,2008,Galapagos
0201-292,Azul  Cerro,Chile,Historical,-35.65333333,-70.76083333,3788,Stratovolcano,1967,Chile-C
0201-293,Azul  Volcanoan,Nicaragua,Holocene,12.53333333,-83.86666667,201,Cinder cone,unknown,Nicaragua
0201-30-,Azuma,Japan,Historical,37.73222222,140.2477778,2035,Stratovolcano,1977,Honshu-Japan
0201-31-,Babuyan Claro,Philippines,Historical,19.52333333,121.94,1080,Stratovolcano,1924,Luzon-N of
0201-32-,Bachelor,United States,Tephrochronology,43.97944444,-121.6875,2763,Stratovolcano,-5800,US-Oregon
0201-33-,Bagana,Pacific Ocean,Historical,-6.14,155.195,1750,Lava cone,2011,Bougainville-SW Pacific
0202-001,Bakening,Russia,Tephrochronology,53.905,158.0666667,2278,Stratovolcano,-550,Kamchatka
0202-01=,Baker,United States,Historical,48.77666667,-121.8130556,3285,Stratovolcano,1880,US-Washington
0202-021,Bal Haf  Harra of,Arabia,Holocene,14.05,48.33333333,233,Volcano field,unknown,Arabia-S
0202-02=,Balatukan,Philippines,Uncertain,8.766666667,124.9833333,2450,Compound volcano,unknown,Mindanao-Philippines
0202-03=,Balbi,Pacific Ocean,Holocene,-5.916666667,154.9833333,2715,Stratovolcano,unknown,Bougainville-SW Pacific
0202-04-,Bald Knoll,United States,Holocene,37.32777778,-112.4077778,2135,Cinder cone,unknown,US-Utah
0202-05-,Baluan,Pacific Ocean,Holocene,-2.566666667,147.2833333,254,Stratovolcano,unknown,Admiralty is-SW Pacific
0202-051,Baluran,Indonesia,Holocene,-7.85,114.3666667,1247,Stratovolcano,unknown,Java
0202-052,Balut,Philippines,Fumarolic,5.4,125.375,862,Stratovolcano,unknown,Mindanao-Philippines
0202-053,Bam,Papua New Guinea,Historical,-3.6125,144.8183333,685,Stratovolcano,1960,New Guinea-NE of
0202-054,Bamus,Papua New Guinea,Anthropology,-5.2,151.2333333,2248,Stratovolcano,1886,New Britain-SW Pac
0202-055,Banahaw,Philippines,Holocene,14.06666667,121.4833333,2158,Complex volcano,unknown,Luzon-Philippines
0202-056,Banda Api,Indonesia,Historical,-4.525,129.8713889,640,Caldera,1988,Banda Sea
0202-06=,Bandai,Japan,Historical,37.59805556,140.0755556,1819,Stratovolcano,1888,Honshu-Japan
0202-071,Banua Wuhu,Indonesia,Historical,3.137777778,125.4905556,-5,Submarine volcano,1919,Sangihe is-indonesia
0202-07=,Baransky,Russia,Historical,45.09722222,148.0241667,1132,Stratovolcano,1951,Kuril is
0202-08=,Barcena,Mexico,Historical,19.3,-110.8166667,332,Cinder cone,1953,Mexico-is
0202-09=,Bardarbunga,Iceland,Historical,64.63333333,-17.53333333,2009,Stratovolcano,1910,Iceland-NE
0202-10=,Barkhatnaya Sopka,Russia,Tephrochronology,52.82333333,158.2666667,870,Lava dome,-3550,Kamchatka
0202-11=,Barren island,Andaman Islands,Historical,12.27777778,93.85833333,354,Stratovolcano,2011,Andaman is-Indian O
0202-12=,Barrier  The,Africa,Historical,2.316666667,36.56666667,1032,Shield volcano,1921,Africa-E
0202-13=,Baru,Panama,Historical,8.807777778,-82.54277778,3474,Stratovolcano,1550,Panama
0202-15=,Barva,Costa Rica,Tephrochronology,10.135,-84.1,2906,Complex volcano,-6050,Costa Rica
0202-161,Bas Dong Nai,Vietnam,Holocene,10.8,107.2,392,Volcano field,unknown,Vietnam
0202-163,Batur,Indonesia,Historical,-8.241666667,115.375,1717,Caldera,2000,Lesser Sunda Islands
0202-164,Bayo  Cerro,Chile,Holocene,-25.41666667,-68.58333333,5401,Complex volcano,unknown,Chile-N
0202-165,Bayonnaise Rocks,Japan,Historical,31.88333333,139.9166667,11,Submarine volcano,1970,izu is-Japan
0202-166,Bayuda Volcano Field,Africa,Radiocarbon,18.33333333,32.75,670,Cinder cone,-850,Africa-N
0202-16=,Bazman,Iran,Fumarolic,28.06666667,60,3490,Stratovolcano,unknown,Iran
0202-17=,Behm Canal-Rudyerd Bay,Alaska,Holocene,55.31666667,-131.05,500,Cinder cone,unknown,Alaska-E
0203-001,Belenkaya,Russia,Holocene,51.75,157.2666667,892,Stratovolcano,unknown,Kamchatka
0203-002,Belirang-Beriti,Indonesia,Fumarolic,-2.816666667,102.1833333,1958,Compound volcano,unknown,Sumatra
0203-003,Belknap,United States,Radiocarbon,44.28527778,-121.8411111,2095,Shield volcano,-480,US-Oregon
0203-004,Bely,Russia,Holocene,57.88333333,160.5333333,2080,Shield volcano,unknown,Kamchatka
0203-005,Berlin,Antarctica,Ar/Ar,-76.05,-136,3478,Shield volcano,-8350,Antarctica
0203-01=,Beru,Ethiopia,Holocene,8.95,39.75,1100,Volcano field,unknown,Ethiopia
0203-02=,Berutarube,Russia,Holocene,44.45916667,146.9363889,1221,Stratovolcano,unknown,Kuril is
0203-03=,Besar,Indonesia,Historical,-4.433333333,103.6666667,1899,Stratovolcano,1940,Sumatra
0203-04-,Bezymianny,Russia,Historical,55.97833333,160.5866667,2882,Stratovolcano,2011,Kamchatka
0203-05-,Bibinoi,Indonesia,Holocene,-0.766666667,127.7166667,900,Stratovolcano,unknown,Halmahera-indonesia
0203-06-,Bilate River Field,Ethiopia,Holocene,7.066666667,38.1,1700,Maar,unknown,Ethiopia
0203-07-,Biliran,Philippines,Historical,11.52333333,124.535,1301,Compound volcano,1939,Philippines-C
0203-08-,Billy Mitchell,Pacific Ocean,Radiocarbon,-6.091666667,155.225,1544,Pyroclastic shield,1580,Bougainville-SW Pacific
0204-001,Bir Borhut,Arabia,Holocene,15.55,50.63333333,,Volcano field,unknown,Arabia-S
0204-002,Birk  Harrat al,Arabia,Holocene,18.36666667,41.63333333,381,Volcano field,unknown,Arabia-W
0204-003,Bishoftu Volcano Field,Ethiopia,Holocene,8.783333333,38.98333333,1850,Fissure vent,unknown,Ethiopia
0204-004,Biu Plateau,Africa,Holocene,10.75,12,,Volcano field,unknown,Africa-W
0204-011,Black Peak,Alaska,Radiocarbon,56.5525,-158.7847222,1032,Stratovolcano,-1900,Alaska Peninsula
0204-01=,Black Rock Desert,United States,Radiocarbon,38.96666667,-112.5,1800,Volcano field,1290,US-Utah
0204-02-,Blancas  Lomas,Chile,Holocene,-36.28583333,-71.00944444,2268,Stratovolcano,unknown,Chile-C
0204-03-,Bliznets,Russia,Holocene,56.96666667,159.7833333,1244,Stratovolcano,unknown,Kamchatka
0204-04-,Bliznetsy,Russia,Radiocarbon,57.35,161.3666667,265,Lava cone,-1060,Kamchatka
0204-05-,Blue Lake Crater,United States,Radiocarbon,44.41138889,-121.7738889,1230,Maar,-680,US-Oregon
0205-001,Blup Blup,Papua New Guinea,Holocene,-3.506666667,144.605,402,Stratovolcano,unknown,New Guinea-NE of
0205-002,Bobrof,Aleutian Islands,Holocene,51.91,-177.4383333,738,Stratovolcano,unknown,Aleutian is
0205-003,Bogatyr Ridge,Russia,Holocene,44.83305556,147.3419444,1634,Stratovolcano,unknown,Kuril is
0205-004,Bogoslof,Aleutian Islands,Historical,53.93333333,-168.0333333,150,Submarine volcano,1992,Aleutian is
0205-005,Boisa,Papua New Guinea,Holocene,-3.994444444,144.9633333,240,Stratovolcano,unknown,New Guinea-NE of
0205-006,Bola,Papua New Guinea,Holocene,-5.15,150.0333333,1155,Stratovolcano,unknown,New Britain-SW Pac
0205-007,Bolshe-Bannaya,Russia,Holocene,52.9,157.7833333,1200,Lava dome,unknown,Kamchatka
0205-008,Bolshoi Payalpan,Russia,Holocene,55.88333333,157.7833333,1906,Shield volcano,unknown,Kamchatka
0205-009,Bolshoi Semiachik,Russia,Radiocarbon,54.31666667,160.0166667,1720,Stratovolcano,-4450,Kamchatka
0205-01=,Bolshoi-Kekuknaysky,Russia,Radiocarbon,56.46666667,157.8,1401,Shield volcano,-5310,Kamchatka
0205-021,Bombalai,Borneo,Holocene,4.4,117.8833333,531,Pyroclastic cone,unknown,Borneo
0205-02=,Boomerang Seamount,Indian Ocean,Historical,-37.72083333,77.825,-650,Submarine volcano,1995,Indian O.-S
0205-03-,Bora-Bericcio,Ethiopia,Holocene,8.266666667,39.03333333,2285,Pumice cone,unknown,Ethiopia
0205-04-,Borale Ale,Ethiopia,Holocene,13.725,40.6,668,Stratovolcano,unknown,Ethiopia
0205-05-,Borawli,Ethiopia,Holocene,13.3,40.98333333,812,Stratovolcano,unknown,Ethiopia
0205-06-,Borawli,Ethiopia,Holocene,11.63333333,41.45,875,Lava dome,unknown,Ethiopia
0205-07-,Boset-Bericha,Ethiopia,Holocene,8.558333333,39.475,2447,Stratovolcano,unknown,Ethiopia
0300-01-,Bouvet,Atlantic Ocean,Magnetism,-54.41666667,3.35,780,Shield volcano,-50,Atlantic-S
0300-03-,Bratan,Indonesia,Holocene,-8.283333333,115.1333333,2276,Caldera,unknown,Lesser Sunda Islands
0300-05-,Brava,Cape Verde,Holocene,14.85,-24.71666667,900,Stratovolcano,unknown,Cape Verde is
0300-06-,Bravo  Cerro,Colombia,Radiocarbon,5.091666667,-75.3,4000,Stratovolcano,1720,Colombia
0301-001,Brennisteinsfjoll,Iceland,Historical,63.91666667,-21.83333333,621,Crater rows,1341,Iceland-SW
0301-01=,Bridge River Cones,Canada,Holocene,50.8,-123.4,2500,Volcano field,unknown,Canada
0301-02=,Bridgeman island,Antarctica,Uncertain,-62.05,-56.75,240,Stratovolcano,unknown,Antarctica
0301-04-,Bristol island,Antarctica,Historical,-59.03333333,-26.58333333,1100,Stratovolcano,1956,Antarctica
0301-05=,Brothers,New Zealand,Fumarolic,-34.87472222,179.0752778,-1350,Submarine volcano,unknown,New Zealand
0301-06=,Brushy Butte,United States,Holocene,41.17777778,-121.4433333,1174,Shield volcano,unknown,US-California
0301-071,Buckle island,Antarctica,Historical,-66.78333333,163.25,1239,Stratovolcano,1899,Antarctica
0301-072,Bufumbira,Africa,Holocene,-1.233333333,29.71666667,2440,Cinder cone,unknown,Africa-C
0301-07=,Buldir,Aleutian Islands,Holocene,52.35,175.9105556,656,Stratovolcano,unknown,Aleutian is
0301-08-,Bulusan,Philippines,Historical,12.77,124.05,1565,Stratovolcano,2011,Luzon-Philippines
0301-09-,Bunyaruguru,Africa,Holocene,-0.2,30.08333333,1554,Maar,unknown,Africa-C
0301-10-,Burney  Monte,Chile,Historical,-52.33333333,-73.4,1758,Stratovolcano,1910,Chile-S
0301-11-,Bus-Obo,Mongolia,Holocene,47.11666667,109.0833333,1162,Cinder cone,unknown,Mongolia
0301-12-,Butajiri-Silti Field,Ethiopia,Holocene,8.05,38.35,2281,Fissure vent,unknown,Ethiopia
0301-16-,Buzzard Creek,Alaska,Radiocarbon,64.06666667,-148.4166667,830,Tuff rings,-1050,Alaska-E
0301-17-,Cabalian,Philippines,Radiocarbon,10.28694444,125.2208333,945,Stratovolcano,1820,Philippines-C
0301-18-,Caburgua-Huelemolle,Chile,Tephrochronology,-39.25,-71.7,1496,Cinder cone,-5050,Chile-C
0302-001,Cagua,Philippines,Historical,18.22166667,122.1233333,1133,Stratovolcano,1860,Luzon-Philippines
0302-002,Caichinque,Chile,Holocene,-23.95,-67.73333333,4450,Stratovolcano,unknown,Chile-N
0302-01-,Calabozos,Chile,Holocene,-35.55833333,-70.49638889,3508,Caldera,unknown,Chile-C
0302-02-,Calatrava Volcano Field,Spain,Radiocarbon,38.86666667,-4.016666667,1117,Pyroclastic cone,-3600,Spain
0302-03-,Calbuco,Chile,Historical,-41.32611111,-72.61444444,2003,Stratovolcano,1972,Chile-S
0302-05-,Callaqui,Chile,Historical,-37.91666667,-71.45,3164,Stratovolcano,1980,Chile-C
0302-06-,Cameroon,Africa,Historical,4.203333333,9.17,4095,Stratovolcano,2000,Africa-W
0302-07-,Camiguin,Philippines,Historical,9.203333333,124.6733333,1552,Stratovolcano,1953,Mindanao-Philippines
0303-001,Camiguin de Babuyanes,Philippines,Historical,18.83333333,121.86,712,Stratovolcano,1857,Luzon-N of
0303-011,Campi Flegrei,Italy,Historical,40.82722222,14.13888889,458,Caldera,1538,Italy
0303-012,Campi Flegrei Mar Sicilia,Italy,Historical,37.1,12.7,-8,Submarine volcano,1867,Italy
0303-013,Candlemas island,Antarctica,Historical,-57.08333333,-26.66666667,550,Stratovolcano,1911,Antarctica
0303-014,Carlisle,Aleutian Islands,Historical,52.89388889,-170.0541667,1620,Stratovolcano,1828,Aleutian is
0303-015,Carran-Los Venados,Chile,Historical,-40.35,-72.06666667,1114,Pyroclastic cone,1979,Chile-C
0303-01=,Carrizozo,United States,Surface Exposure,33.78333333,-105.9333333,1731,Cinder cone,-3250,US-New Mexico
0303-02=,Casiri  Nevados,Peru,Holocene,-17.46666667,-69.81333333,5650,Stratovolcano,unknown,Peru
0304-00-,Cay,Chile,Holocene,-45.05916667,-72.98416667,2090,Stratovolcano,unknown,Chile-S
0304-001,Cayambe,Ecuador,Historical,0.029166667,-77.98583333,5790,Compound volcano,1786,Ecuador
0304-002,Cayutue-La Vigueria,Chile,Tephrochronology,-41.25,-72.26666667,506,Pyroclastic cone,-1050,Chile-S
0304-011,Ceboruco,Mexico,Historical,21.125,-104.5083333,2280,Stratovolcano,1875,Mexico
0304-01=,Cendres ile des,Vietnam,Historical,10.1575,109.0138889,-20,Submarine volcano,1923,Vietnam
0304-02=,Central island,Africa,Holocene,3.5,36.04166667,550,Tuff cone,unknown,Africa-E
0304-03-,Cereme,Indonesia,Historical,-6.891666667,108.4,3078,Stratovolcano,1951,Java
0304-04-,Chacana,Ecuador,Historical,-0.375,-78.25,4643,Caldera,1773,Ecuador
0304-05-,Chachani  Nevado,Peru,Holocene,-16.19138889,-71.52972222,6057,Stratovolcano,unknown,Peru
0304-06-,Chachimbiro,Ecuador,Radiocarbon,0.468055556,-78.28722222,4106,Stratovolcano,-3740,Ecuador
0304-07-,Chagulak,Aleutian Islands,Holocene,52.57666667,-171.1333333,1142,Stratovolcano,unknown,Aleutian is
0401-011,Chaîne des Puys,France,Radiocarbon,45.775,2.966666667,1464,Lava dome,unknown,France
0401-01=,Chaiten,Chile,Historical,-42.83277778,-72.64583333,1122,Caldera,2010,Chile-S
0401-021,Changbaishan,China,Historical,41.98333333,128.0833333,2744,Stratovolcano,1903,China-E
0401-02=,Cherny,Russia,Holocene,56.81666667,159.6666667,1778,Stratovolcano,unknown,Kamchatka
0401-03=,Cherpuk Group,Russia,Radiocarbon,55.55,157.4666667,1868,Pyroclastic cone,-4550,Kamchatka
0401-04=,Chichinautzin,Mexico,Radiocarbon,19.08333333,-99.13333333,3930,Volcano field,-400,Mexico
0401-05=,Chichon  El,Mexico,Historical,17.36,-93.22777778,1150,Lava dome,1982,Mexico
0401-06-,Chiginagak,Alaska,Historical,57.135,-156.99,2221,Stratovolcano,1988,Alaska Peninsula
0401-061,Chikurachki,Russia,Historical,50.325,155.4583333,1816,Stratovolcano,2008,Kuril is
0401-07=,Chiliques,Chile,Holocene,-23.58333333,-67.7,5778,Stratovolcano,unknown,Chile-N
0401-08=,Chillan  Nevados de,Chile,Historical,-36.86333333,-71.37666667,3212,Stratovolcano,2003,Chile-C
0401-101,Chimborazo,Ecuador,Radiocarbon,-1.463888889,-78.815,6310,Stratovolcano,-550,Ecuador
0401-102,Chinameca,El Salvador,Holocene,13.47777778,-88.33027778,1300,Stratovolcano,unknown,El Salvador
0401-10=,Chingo,Guatemala,Holocene,14.11666667,-89.73333333,1775,Stratovolcano,unknown,Guatemala
0401-11-,Chiquimula Volcano Field,Guatemala,Holocene,14.83333333,-89.55,1192,Cinder cone,unknown,Guatemala
0401-12-,Chiracha,Ethiopia,Holocene,6.65,38.11666667,1650,Stratovolcano,unknown,Ethiopia
0401-13-,Chirinkotan,Russia,Historical,48.98333333,153.4833333,724,Stratovolcano,2004,Kuril is
0401-131,Chirip,Russia,Historical,45.33805556,147.925,1587,Stratovolcano,1860,Kuril is
0401-14-,Chirpoi,Russia,Historical,46.525,150.875,742,Caldera,1982,Kuril is
0401-15-,Chokai,Japan,Historical,39.09638889,140.0522222,2233,Stratovolcano,1974,Honshu-Japan
0402-01=,Ch'uga-ryong,Korea,Holocene,38.33333333,127.3333333,452,Shield volcano,unknown,Korea
