GEOID10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,COUNT,Shape_Leng,Shape_Area
53033029503,2362193,545,47.3763084,-122.2063943,7896,0.099055892,0.000281404
53033029502,4309765,36477,47.3741574,-122.1753447,6780,0.093548076,0.000517626
53033029408,1238188,0,47.3946962,-122.1916681,4376,0.064919844,0.000147521
53033029407,1360513,0,47.3942408,-122.2017733,4885,0.060513898,0.000162093
53033029406,2616772,92988,47.397426,-122.1786798,5004,0.073808319,0.000322846
53033029405,2491156,986,47.4117274,-122.1757403,5861,0.071281541,0.000296999
53033006400,903649,0,47.6285398,-122.3048258,3207,0.0471391,0.000108138
53033006300,2306076,3491020,47.6350574,-122.2767772,4962,0.124585944,0.000693828
53033006200,2730880,285632,47.6391316,-122.3012264,3848,0.113981376,0.000361053
53033006100,1241431,644264,47.6448423,-122.3222789,4796,0.07882963,0.000225726
53033006000,1349233,150279,47.6436158,-122.352052,5150,0.067032583,0.000179495
53033005801,1779677,301744,47.6548926,-122.3850376,4743,0.073452636,0.000249204
53033005700,5107335,2295838,47.6581015,-122.4137704,6001,0.169525324,0.000886453
53033026002,2767309,1607,47.4825107,-122.2239768,7911,0.122251219,0.000330461
53033025804,2358347,0,47.4547647,-122.1691692,3714,0.097618178,0.000281295
53033031909,1916060,0,47.4378388,-122.1434772,3037,0.098250569,0.000228468
53033031908,1827096,0,47.4471071,-122.1427639,4266,0.07464205,0.000217899
53033022102,4646226,0,47.742406,-122.2259045,5871,0.128507973,0.000557204
53033022500,3774561,188853,47.6799808,-122.1926045,7143,0.12501994,0.000474756
53033029403,2407382,385,47.4094368,-122.2002607,5535,0.070182244,0.000286944
53033029307,3808766,61769,47.4218407,-122.1594823,3883,0.092749323,0.000461391
53033029306,2372855,182821,47.4217238,-122.1835438,3283,0.071146415,0.000304651
53033028902,2062176,0,47.3994087,-122.3017641,6495,0.078864816,0.000245714
53033028901,2285605,425573,47.4026302,-122.3203514,3368,0.099526465,0.000323067
53033028802,2415612,415841,47.4249416,-122.2880021,6128,0.093496036,0.000337538
53033028801,5203599,0,47.4206939,-122.308606,3095,0.108227188,0.000620271
53033005600,3032928,1587292,47.6405468,-122.4071053,6382,0.117233586,0.00055302
53033005400,1199275,647090,47.6486281,-122.3381362,4948,0.068285405,0.000221038
53033005302,2511567,745303,47.6540494,-122.3013013,5706,0.088438239,0.000389931
53033005301,543485,0,47.661505,-122.3131216,7085,0.038272738,6.50779E-05
53033005200,964721,85584,47.6595705,-122.3235185,6076,0.04839783,0.000125761
53033005100,881711,0,47.6585183,-122.3322481,3662,0.042306169,0.000105572
53033005000,757380,0,47.6608696,-122.3418076,3600,0.03885009,9.06898E-05
53033004900,1085823,25325,47.6571964,-122.3518455,6139,0.050407993,0.00013304
53033004800,1318565,41555,47.6608472,-122.3601847,4539,0.060724879,0.000162861
53033004700,1950914,353088,47.6660659,-122.3749544,6739,0.071614479,0.00027591
53033022603,2896820,12563,47.6948197,-122.1716302,5324,0.083062523,0.000348598
53033022604,2955131,0,47.6762277,-122.1740019,4233,0.08041789,0.000353954
53033024300,4071795,9463811,47.5901123,-122.245844,7255,0.183147793,0.001618597
53033024400,1627672,660948,47.5822829,-122.217867,2885,0.086841419,0.000273629
53033024500,3785637,2227321,47.5664031,-122.2202549,4595,0.153311536,0.000718713
53033028700,2675325,0,47.4212394,-122.3278018,5055,0.073239253,0.000318903
53033028600,6463133,1891466,47.4329749,-122.3446892,6214,0.176467402,0.000996106
53033028500,3509824,0,47.4454085,-122.3248135,3847,0.113052909,0.000418564
53033028403,2086535,32665,47.4388693,-122.2831589,4986,0.068103921,0.0002527
53033028402,8324279,0,47.4501488,-122.3030373,5097,0.155903508,0.000992806
53033028300,8206439,153403,47.4309168,-122.2693876,4580,0.208355337,0.000996688
53033004600,1552357,1033231,47.683092,-122.3378674,3251,0.08597341,0.000309678
53033004500,671000,0,47.6685824,-122.3229111,2676,0.037821991,8.03577E-05
53033004400,989908,0,47.670341,-122.3119324,6260,0.043564896,0.000118553
53033004200,2464009,0,47.6702043,-122.2841019,7618,0.0849625,0.000295095
53033004100,3267563,5654701,47.667844,-122.2587932,7789,0.152515962,0.001068348
53033004000,2606984,3881765,47.681718,-122.252368,2690,0.145518597,0.000777224
53033003900,973807,0,47.6794117,-122.2823414,2772,0.046619531,0.000116646
53033003800,624606,0,47.6794093,-122.2955292,2058,0.035200161,7.48172E-05
53033025701,3780704,0,47.4716037,-122.1913955,5545,0.10645362,0.000451093
53033022802,2657468,0,47.6633906,-122.1350007,4791,0.074357015,0.000318223
53033032309,6163950,0,47.685625,-122.1338165,5212,0.147606992,0.000738424
53033032325,2212936,0,47.6864819,-122.1049565,5791,0.091283888,0.000265108
53033028200,2687326,1028,47.4656308,-122.2755633,4718,0.080163502,0.000320724
53033028100,1627778,0,47.4686896,-122.2991209,2477,0.068876647,0.000194206
53033028000,2094341,0,47.4666281,-122.3239219,3366,0.069042436,0.000249862
53033027900,3358042,153582,47.4638936,-122.3478454,6514,0.090452796,0.000418929
53033027800,2577267,1094948,47.4515094,-122.3679231,3290,0.112585041,0.000437992
53033027702,51481975,23439547,47.3727844,-122.4617896,4945,0.465098671,0.008923418
53033005900,1806158,173889,47.6492259,-122.3685688,6836,0.069370632,0.000237037
